Complication,Pathogen
Carbohydrate intolerance or malabsorption,"Giardia lamblia/intestinalis, rotavirus and other forms of viral gastroenteritis,"
Fat malabsorption,Giardia lamblia/intestinalis
Haemolytic uraemic syndrome,"Enterohaemorrhagic Escherichia coli (EHEC), Shigella dysenteriae"
Guillain-Barré syndrome,Campylobacter jejuni
Reactive arthritis,"Campylobacter, Salmonella, Shigella, Yersinia spp."
Erythema nodosum,"Campylobacter, Salmonella, Shigella, Yersinia spp"
Enteritis necroticans,Clostridium perfringens type C
Liver abscess and other forms of extraintestinal amoebiasis,Entamoeba histolytica
Chronic fatigue syndrome,"Giardia lamblia/intestinalis, particularly described from Scandinavia"
