Tick-borne,Mite-borne,Louse-borne,Flea-borne
Spotted fevers,"Scrub typhus, Tsutsugamushi fever, Japanese river fever",Epidemic typhus,"Murine typhus, Endemic typhus, Shop typhus"
Spotted Fever (SF) Group,Scrub typhus Group,Typhus Group,Typhus Group
"Many, e.g. R. africae (African tick bite fever) R. conorii (Mediterranean SF) R. rickettsii (Rocky mountain SF) R. australis (Queensland tick typhus)",Orientia tsutsugamushi O. sp. nov. chuto (UAE),R. prowazekii,R. typhi
Ticks,"Trombiculid mites (chigger mites, jungle mites)",Pediculus humanus corporis (human body lice),Xenopsylla cheopis (rat flea)
Mammals Rodents Marsupials....,Mites (transovarian) Rodents,Humans,Rodents
