Clinical Presentation,Neuroanatomical Diagnosis,Examples of Common Aetiologies in Tropical Countries
Flaccid paraparesis,with bladder involvement and/or sensory level,Acute spinal cord lesion,"inflammation of the spinal cord (= myelitis), ischaemia of the spinal cord (= spinal infarction)"
Flaccid paraparesis,with bladder involvement and/or sensory level,Acute cauda equina lesion,"metastatic malignancy, schistosomiasis"
Flaccid paraparesis,"without bladder dysfunction, without sensory level",Polyradiculoneuropathy,"Guillain-Barré-syndrome, tuberculous arachnoiditis, CMV in HIV"
Flaccid paraparesis,"without bladder dysfunction, without sensory level",Polyneuropathy,"Diabetes, HIV-related, nutritional"
Spastic paraparesis,,Chronic spinal cord lesion,"Compression of spinal cord because of Pott's disease, chronic viral infections such as HTLV-1 and HIV"
