,Mild,Moderate,Severe
Clinical features,Increasing exertional dyspnoea ± cough and sweats,"Dyspnoea on minimal exertion, occasional dyspnoea at rest, fever ± sweats","Dyspnoea at rest, tachypnoea at rest, persistent fever, cough"
Arterial blood gas (room air),"PaO2 normal, Sa02 falling on exercise",PaO2 = 8.1–11 kPa,PaO2 < 8.0 kPa
Chest radiography,Normal or minor perihilar infiltrates,Diffuse interstitial shadowing,"Extensive interstitial shadowing + diffuse alveolar shadowing ('white out'), sparing costophrenic angles and apices"
