Pathogen,Incubation Period,Source of Infection,Geography,Clinical Features,Serology
Angiostrongylus cantonensis,2-35 days,"Consumption of infected crustaceans, snails, prawns, crabs, frogs, and/or contaminated vegetables","South-east Asia, Pacific basin, Australia, Caribbean","Paraesthesia of trunk, limbs, or face",Western blot of antibodies against 31 kD antigen*
Gnathostoma spinigerum,Days to months,"Consumption of infected poultry or fish, snakes, frogs","South-east Asia (mainly Thailand), emerging in sub-Saharan Africa","Migrating subcutaneous swellings, creeping eruption, sharp radicular pain at onset",Western blot of antibodies against 24 kD antigen*
