,Bacterial Pathogen,Clinical Features,CSF Features
Acute Bacterial Meningitis,"Streptococcus pneumoniae, Neisseria meningitidis, Streptococcus suis (Asia)","Often very rapid onset with high fever and meningism, cranial nerve involvement less common","Often cloudy, high leukocyte cell count, predominance of polymorphs, low glucose"
Tuberculous Meningitis,Mycobacterium tuberculosis,"Often a history of several days of illness, onset less abrupt, cranial nerve involvement common","Often clear, high CSF protein, low CSF glucose"
Cryptococcal Meningitis,Cryptococcus neoformans,"Often subacute onset, severe headache common, cranial nerve involvement common",CSF can be normal in at least 25% of cases
