Pillar,Criteria
Clinical Criteria,"Symptom duration >5 days Systemic symptoms suggestive of tuberculosis (one or more of the following): weight loss (or poor weight gain in children), night sweats, or persistent cough for more than 2 weeks History of close contact with an individual with pulmonary tuberculosis or a positive tuberculin skin test within the past year Focal neurological deficit Cranial nerve palsy Altered consciousness"
CSF Criteria,Clear appearance Leukocytes: 10-500/μL Lymphocytic predominance (>50%) Protein concentration > 1 g/L CSF to plasma-glucose ratio <50% or absolute CSF glucose concentration <2.2 mmol/L
Neuroimaging Criteria,Hydrocephalus Basal meningeal enhancement Tuberculoma Infarct Pre-contrast basal hyperdensity
Evidence of TB Elsewhere,"Chest radiography suggestive of active TB Evidence for TB outside the CNS on CT, MRI or ultrasound AFB identified or M. tuberculosis cultured from another source (sputum, lymph node, gastric washing, urine, blood culture) Positive commercial M. tuberculosis-PCR from extraneural specimen"
