Complication,Prevention/Management
Pressure sores,"Nursing, training and counselling of guardians (two hourly turning)"
Urinary retention,Catheterization
Contractures,"Physiotherapy, training of guardians for home-based physiotherapy"
Pain,"Pain relief by NSAID/opiates, involvement of local palliative care team"
Immobilization,"If available, prescription of walking aids/ wheelchairs"
Depression,"Spiritual and mental support, occupational therapy/community projects, pharmacotherapy, involvement of local palliative care team"
