,Typical Onset and Course,Clinical Features
Spinal tuberculosis,"Insidious onset, chronically progressive over weeks, with months of back pain","Spasticity common, bladder may be spared, spinal deformity on examination"
Spinal metastases,"Subacute onset, chronically progressive over weeks","Spasticity or flaccidity, bladder may be spared"
Transverse myelitis (incl. autoimmune),"Acute onset, often non-progressive",Bladder involvement common
Schistosomiasis,Acute (days) or subacute (a couple of weeks),"Often flaccid paresis, bladder involvement common"
