Diagnostic Clues,Treatment
Typical spinal radiograph (see Box) Epidemiological evidence,Antituberculous treatment Spinal surgery if available and applicable (see Box)
"Clinical evidence of the primary tumour (e.g. prostate, breast)",Very limited options: radiotherapy rarely available; corticosteroids to decrease oedema
Young adults Inflammatory CSF,Corticosteroids
"Exposure to freshwater in endemic regions, young adults in endemic coutries or non-immune travellers; CSF eosinophilia; other manifestations of schistosomiasis may or may not be present.","Praziquantel, corticosteroids"
